#C.D.S.  -  SIMBAD4 rel 1.7  -  2020.11.23EST20:49:13#
#
#Vmag < 3 & Vmag > 1
#-------------------
#
#Number of objects : 178
#
# # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
#---|-------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
117|* sig Sgr                |** |18 55 15.92650 -26 17 48.2068          | 1.06 | 1.923| 2.067|     ~|     ~|B2V            | 255|   0
118|* bet Sco                |** |16 05 26.23 -19 48 19.4                | 2.00 | 2.43 | 2.50 |     ~|     ~|B1V+B2V        |  22|   0
119|* bet01 Sco              |SB*|16 05 26.2319826 -19 48 19.630018      | 1.68 | 2.55 | 2.62 | 2.60 | 2.69 |B1V            | 535|   0
120|* pi. Sgr                |** |19 09 45.8329260 -21 01 25.010335      | 3.46 | 3.22 | 2.88 | 2.54 | 2.30 |F2II-III       | 129|   0
121|* eta Oph                |** |17 10 22.68689 -15 43 29.6639          | 2.56 | 2.47 | 2.42 | 2.39 | 2.38 |A2IV-V         | 252|   0
122|* eta Oph A              |PM*|17 10 22.664064 -15 43 30.51408        |     ~| 2.564| 2.463|     ~|     ~|A2(V)          |  13|   0
123|* bet Lib                |PM*|15 17 00.41382 -09 22 58.4919          | 2.14 | 2.51 | 2.62 | 2.67 | 2.76 |B8Vn           | 258|   0
124|* zet Oph                |Be*|16 37 09.5390545 -10 34 01.529471      | 1.73 | 2.58 | 2.56 | 2.46 | 2.50 |O9.2IVnn       |1738|   2
125|* del Oph                |PM*|16 14 20.73853 -03 41 39.5612          | 6.30 | 4.34 | 2.75 | 1.46 | 0.43 |M0.5III        | 344|   0
126|* bet Oph                |PM*|17 43 28.3526482 +04 34 02.295484      | 5.150| 3.930| 2.750| 1.96 | 1.38 |K2IIICN0.5     | 455|   0
127|* alf Ser                |PM*|15 44 16.0743159 +06 25 32.263272      | 5.080| 3.800| 2.630| 1.82 | 1.25 |K2IIIbCN1      | 496|   0
128|* alf Oph                |** |17 34 56.06945 +12 33 36.1346          | 2.32 | 2.22 | 2.07 | 1.93 | 1.85 |A5IVnn         | 443|   0
129|* gam Aql                |*  |19 46 15.5802908 +10 36 47.740788      | 5.93 | 4.23 | 2.72 | 1.65 | 0.87 |K3II           | 420|   0
130|* zet Aql                |PM*|19 05 24.6080155 +13 51 48.518212      | 2.99 | 3.00 | 2.99 | 2.98 | 2.98 |A0IV-Vnn       | 323|   0
131|* bet Her                |SB*|16 30 13.1995466 +21 29 22.600778      | 4.39 | 3.70 | 2.77 | 2.13 | 1.65 |G7IIIaFe-0.5   | 307|   0
132|* alf CrB                |Al*|15 34 41.26800 +26 42 52.8940          | 2.19 | 2.22 | 2.24 | 2.21 | 2.25 |A1IV           | 456|   0
133|* zet Her                |SB*|16 41 17.16104 +31 36 09.7873          | 3.640| 3.430| 2.800| 2.31 | 1.99 |G0IV           | 525|   0
134|* eps Cyg                |** |20 46 12.6823609 +33 58 12.924926      | 4.370| 3.520| 2.480| 1.73 | 1.19 |K0III          | 481|   0
135|* gam02 Vel              |WR*|08 09 31.95013 -47 20 11.7108          | 0.64 | 1.58 | 1.83 | 1.85 | 2.00 |WC8+O7.5III-V  | 848|   0
136|* tau Pup                |SB*|06 49 56.1684595 -50 36 52.443676      |     ~| 4.13 | 2.93 |     ~|     ~|K1III          |  94|   0
137|* lam Vel                |LP*|09 07 59.75787 -43 25 57.3273          | 5.67 | 3.86 | 2.21 | 0.97 | 0.03 |K4Ib           | 203|   0
138|* del Vel                |Al*|08 44 42.22658 -54 42 31.7493          |     ~| 2.00 | 1.95 |     ~|     ~|A2IV+A4V+F8V   | 185|   0
139|* eps Car                |** |08 22 30.83526 -59 30 34.1431          | 3.32 | 3.13 | 1.86 |     ~|     ~|K3:III+B2:V    |  81|   0
140|* kap Vel                |SB*|09 22 06.8176100 -55 00 38.401683      | 1.5  | 2.324| 2.473|     ~|     ~|B2IV           | 151|   0
141|* iot Car                |V* |09 17 05.4068572 -59 16 30.835305      | 2.60 | 2.44 | 2.26 | 2.02 | 1.82 |A7Ib           | 147|   0
142|* mu. Vel A              |PM*|10 46 46.187828 -49 25 12.93704        |     ~| 3.66 | 2.70 |     ~|     ~|~              |   1|   0
143|* mu. Vel                |** |10 46 46.17877 -49 25 12.9244          | 4.16 | 3.59 | 2.69 | 2.01 | 1.52 |G6III          | 173|   0
144|* ups Car                |*  |09 47 06.12170 -65 04 19.2267          |     ~| 3.25 | 2.99 | 4.92 |     ~|A9             |  64|   0
